,,,,,492,434,473,473,546,485,625,528,552,553,585,530
,,,,,2,11,0,6,6,1,9,4,7,8,4,5
,,,,,171,172,187,193,184,172,209,168,179,188,166,166
,,,,,51,68,62,66,47,56,47,41,45,52,37,59
,,,,,203,213,220,156,180,148,138,190,181,190,214,251
,,,,,11,9,15,9,14,3,9,8,8,7,8,4
,,,,,165,119,177,111,155,151,166,83,139,108,109,118
,,,,,0,0,1,0,0,1,1,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,1,0,2,0,0
,,,,,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,0,0,1,1,4,1,1,0,0,2,1,1
,,,,,0,1,0,1,0,0,1,0,0,0,0,1
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,0,0,0,2
,,,,,0,0,0,0,0,0,0,1,1,0,1,0
,,,,,0,0,0,2,2,0,0,0,1,1,0,2
,,,,,1,2,1,1,1,0,1,1,0,0,0,2
,,,,,4,3,1,1,1,2,2,1,2,1,1,2
,,,,,7,8,7,8,8,6,9,7,11,11,11,3
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,4,3,4,2,3,0,2,1,7,1,3,1
,,,,,0,3,3,2,4,5,2,5,3,1,5,2
,,,,,1,4,1,1,1,2,4,2,1,1,4,4
,,,,,2,0,2,0,2,0,2,0,1,2,0,0
,,,,,3,1,0,2,1,0,1,1,1,1,3,1
,,,,,4,9,9,7,11,4,10,5,4,10,5,8
,,,,,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,8,10,5,3,8,5,14,12,11,8,6,6
,,,,,1,0,0,2,1,0,0,1,0,1,1,1
,,,,,1,3,2,3,1,0,4,3,2,1,2,1
,,,,,13,9,21,10,11,5,8,12,15,15,10,6
,,,,,37,23,28,14,32,27,26,20,31,16,26,20
,,,,,105,74,109,103,131,106,148,135,112,102,107,96
,,,,,24,24,33,29,43,37,44,36,39,30,47,29
,,,,,0,1,0,2,0,0,0,0,0,0,1,0
,,,,,10,7,9,2,9,6,4,10,10,4,11,8
,,,,,98,110,126,115,119,97,81,87,84,91,108,99
,,,,,34,23,39,33,25,43,40,32,54,31,38,28
,,,,,26,25,33,27,18,34,17,26,15,25,29,20
,,,,,27,27,44,53,55,53,48,44,63,35,42,37
,,,,,294,302,354,246,244,270,326,293,286,294,274,277
,,,,,94,90,114,101,111,114,117,112,107,119,134,117
,,,,,58,80,97,72,62,75,82,64,41,78,71,50
